Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gemiddelde snelheid,Max. snelheid,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gemiddelde fietscadans,Max. fietscadans,Training Stress Score®,Grit,Flow,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Wegwielrennen,2022-10-31 12:15:45,false,"Antwerpen Wegwielrennen","70.65","1,519","02:52:37","130","173","3.4","24.6","43.9","142","118","NaN","NaN","NaN","NaN","80","126","0.0","NaN","NaN","12369","NaN","NaN","NaN","15.0","Nee","00:16:53","9","24.0","27","12","41","02:45:46","05:17:25","-13","65"
Wegwielrennen,2022-10-01 11:33:03,false,"Bitsingen Wegwielrennen","39.15","1,082","01:47:38","136","186","3.1","21.8","65.7","406","396","NaN","NaN","NaN","NaN","69","113","0.0","NaN","NaN","5986","NaN","NaN","NaN","15.0","Nee","00:19:50","5","29.0","28","12","46","01:42:53","03:57:46","41","134"
Wegwielrennen,2022-07-24 11:43:56,false,"Antwerpen Wegwielrennen","30.73","549","01:21:01","117","134","1.5","22.8","34.3","70","62","NaN","NaN","NaN","NaN","76","103","0.0","NaN","NaN","5971","NaN","NaN","NaN","26.0","Nee","00:16:10","4","34.0","21","13","29","01:20:39","01:40:06","-17","21"
Wegwielrennen,2022-07-23 11:56:22,false,"Oudenaarde Wegwielrennen","79.24","2,044","03:24:03","141","187","4.0","23.3","68.5","790","782","NaN","NaN","NaN","NaN","68","148","0.0","NaN","NaN","12361","NaN","NaN","NaN","25.0","Nee","00:16:21","10","41.0","29","15","47","03:21:30","05:20:54","2","147"
Wegwielrennen,2022-07-22 12:57:53,false,"Gent Wegwielrennen","64.51","1,709","02:23:24","154","184","4.4","27.0","39.1","104","104","NaN","NaN","NaN","NaN","90","208","0.0","NaN","NaN","12324","NaN","NaN","NaN","22.0","Nee","00:00:19.0","9","29.0","32","16","41","02:21:56","02:28:11","-16","26"
Wegwielrennen,2022-07-21 12:24:19,false,"Antwerpen Wegwielrennen","69.58","1,951","02:46:16","150","175","4.5","25.1","37.5","121","138","NaN","NaN","NaN","NaN","88","156","0.0","NaN","NaN","13555","NaN","NaN","NaN","16.0","Nee","00:12:46","9","27.0","32","13","42","02:40:07","02:46:16","-22","23"
Wegwielrennen,2022-07-16 10:03:56,false,"Antwerpen Wegwielrennen","115.70","2,726","04:32:44","145","192","5.0","25.5","46.9","216","229","NaN","NaN","NaN","NaN","79","138","0.0","NaN","NaN","18686","NaN","NaN","NaN","20.0","Nee","00:10:10","15","30.0","31","15","46","04:17:25","04:47:37","-11","91"
Wegwielrennen,2022-07-14 18:23:29,false,"Antwerpen Wegwielrennen","30.41","927","00:59:26","165","192","4.8","30.7","46.3","65","68","NaN","NaN","NaN","NaN","92","115","0.0","NaN","NaN","5339","NaN","NaN","NaN","21.0","Nee","00:12:17","4","28.0","33","12","45","00:59:25","01:15:05","-22","12"
Wegwielrennen,2022-07-02 09:22:33,false,"Sint-Niklaas Wegwielrennen","77.95","1,939","02:37:07","153","192","4.8","29.8","45.5","124","115","NaN","NaN","NaN","NaN","84","131","0.0","NaN","NaN","12054","NaN","NaN","NaN","19.0","Nee","00:11:05","10","28.0","32","16","46","02:33:55","03:21:20","22","39"
Wegwielrennen,2022-07-01 18:31:46,false,"Antwerpen Wegwielrennen","22.28","642","00:59:03","140","170","3.2","22.6","35.6","38","29","NaN","NaN","NaN","NaN","83","106","0.0","NaN","NaN","4358","NaN","NaN","NaN","19.0","Nee","00:18:42","3","26.0","31","17","41","00:56:31","01:04:12","-18","18"
Wegwielrennen,2022-06-27 18:03:17,false,"Antwerpen Wegwielrennen","73.99","1,839","02:41:34","152","190","4.8","27.5","43.4","169","174","NaN","NaN","NaN","NaN","84","114","0.0","NaN","NaN","12786","NaN","NaN","NaN","17.0","Nee","00:04:50.9","10","24.0","32","12","48","02:38:38","02:48:19","-21","18"
Indoorcycling,2022-06-27 07:13:06,false,"Indoorcycling","0.00","457","00:56:05","124","168","2.6","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","28.0","Nee","00:56:05","1","33.0","--","--","--","00:00:00","00:56:05","--","--"
Wegwielrennen,2022-06-22 16:51:54,false,"Antwerpen Wegwielrennen","72.39","1,767","02:39:22","145","189","4.1","27.3","49.6","140","140","NaN","NaN","NaN","NaN","87","117","0.0","NaN","NaN","13420","NaN","NaN","NaN","22.0","Nee","00:16:14","9","30.0","31","17","46","02:38:11","04:49:47","-27","40"
Wegwielrennen,2022-06-20 17:49:01,false,"Antwerpen Wegwielrennen","30.12","811","01:13:56","141","181","3.4","24.4","51.2","96","81","NaN","NaN","NaN","NaN","82","107","0.0","NaN","NaN","5394","NaN","NaN","NaN","19.0","Nee","00:16:28","4","28.0","30","16","44","01:10:10","01:24:10","-17","47"
Wegwielrennen,2022-06-17 16:02:32,false,"Antwerpen Wegwielrennen","75.33","1,756","03:05:17","140","167","3.5","24.4","39.8","176","180","NaN","NaN","NaN","NaN","81","134","0.0","NaN","NaN","14355","NaN","NaN","NaN","26.0","Nee","00:07:26.5","10","35.0","28","15","37","03:01:40","03:21:04","-12","52"
Wegwielrennen,2022-06-15 19:20:38,false,"Antwerpen Wegwielrennen","64.91","1,541","02:40:07","142","190","3.9","24.3","49.9","188","167","NaN","NaN","NaN","NaN","80","114","0.0","NaN","NaN","11053","NaN","NaN","NaN","19.0","Nee","00:02:44.2","9","25.0","30","12","43","02:29:02","02:55:11","-24","43"
Wegwielrennen,2022-05-12 17:26:36,false,"Antwerpen Wegwielrennen","59.48","1,259","02:35:11","130","173","3.0","23.0","41.0","148","145","NaN","NaN","NaN","NaN","74","112","0.0","NaN","NaN","9995","NaN","NaN","NaN","15.0","Nee","00:11:52","8","25.0","27","14","41","02:29:39","03:09:18","4","31"
Wegwielrennen,2022-05-09 17:05:43,false,"Antwerpen Wegwielrennen","48.39","1,383","01:47:41","158","197","5.0","27.0","47.1","119","113","NaN","NaN","NaN","NaN","81","121","0.0","NaN","NaN","7557","NaN","NaN","NaN","22.0","Nee","00:00:23.3","7","28.0","34","17","47","01:40:21","01:48:19","6","80"
Wegwielrennen,2022-05-07 15:01:12,false,"Antwerpen Wegwielrennen","53.59","1,391","02:36:43","134","180","3.4","20.5","38.6","96","96","NaN","NaN","NaN","NaN","81","116","0.0","NaN","NaN","9507","NaN","NaN","NaN","16.0","Nee","00:17:04","7","30.0","28","11","41","02:07:57","02:48:49","4","97"
